negative_word,count1,non_negative_word,count2
time,171,really,166
together,20,killing,11
next,80,stay,46
weeks,22,positive,4
file,4,waiting,316
works,15,money,80
needs,18,sad,26
email,70,afford,11
easier,6,long,125
passengers,48,trips,14
coach,7,though,53
captain,7,please,177
reading,3,answer,93
omg,3,add,39
Haha,6,Mexico,8
Have,30,Air,29
fun,13,Canada,3
How,58,Same,10
believe,14,exact,7
given,8,situation,26
automatically,8,none,11
jetblue,31,problems,49
wish,17,Jet,12
hello,6,Blue,11
talking,6,depart,16
says,27,Boston,48
moved,10,departing,8
sent,80,due,205
feedback,8,finding,10
thing,22,pilot,63
flt,26,Thanks,130
info,42,lot,40
quick,36,Carolina,3
fill,3,figure,29
form,9,options,39
usairways,13,talk,74
PHL,31,philly,10
recovery,3,since,139
tonight,67,130,4
Appreciate,15,8pm,6
choice,5,plz,13
loyal,10,contact,64
airways,6,shared,5
responding,12,Nothing,14
tweets,7,done,68
long,43,check,184
Rapid,3,online,150
Rewards,3,computer,37
ton,4,tablet,5
March,16,error,44
general,7,message,54
enquires,4,devices,3
address,16,last,206
David,8,night,107
DFW,49,almost,74
Flightled,61,cuz,8
hopefully,10,without,89
Late,48,safe,9
right,68,thx,25
Done,9,note,17
receipt,9,carrier,9
ASAP,11,run,31
Could,12,around,48
Phoenix,9,disconnected,35
fixed,12,relations,24
problem,19,twice,49
booked,54,Help,81
California,6,day,228
Can,133,suppose,14
know,153,anything,91
Pittsburgh,3,learned,7
weekend,18,group,27
crowd,3,hundreds,10
via,52,company,67
good,120,Why,148
eventually,7,find,118
took,20,cheap,11
landed,17,Louis,4
safely,13,The,139
cup,5,prices,15
wine,5,went,44
home,96,crazy,28
folks,11,April,3
incredible,5,rudest,3
wan,5,attendants,38
na,13,drink,12
ride,14,card,43
love,130,dropped,21
airplane,6,“,44
taking,25,Inconvenient,3
private,3,convenient,3
jet,10,word,21
land,7,appalled,5
calling,8,lack,54
6am,3,communication,42
JFK,52,awful,41
saved,5,EWR,50
lost,20,BOS,42
Much,8,delays,104
happy,30,explained,9
spend,3,ticket,163
Let,18,gave,50
link,19,lying,6
article,4,voice,7
routes,14,With,7
times,23,explanation,20
likely,7,happened,44
Like,6,JetBlue,88
kinda,3,Unfortunately,10
care,35,available,79
announcement,3,option,55
making,31,current,10
come,31,system,129
true,14,Sorry,14
DestinationDragons,65,certain,8
scavenger,4,fail,75
hunt,5,Fix,5
win,18,airline,280
chance,43,America,5
Imagine,7,work,155
Dragons,9,cut,17
flyingitforward,7,treat,30
deliver,5,garbage,9
clothes,4,full,68
picked,7,tmrw,14
every,20,think,98
away,27,know,190
travel,90,mechanical,61
question,30,agree,4
follow,80,unacceptable,57
front,6,pray,3
office,9,free,69
welcome,14,make,193
board,27,poor,67
Never,7,disregard,6
heard,11,fails,8
really,56,😡,6
cheap,5,queue,11
catch,10,times,145
wow,11,high,21
answer,7,cool,26
people,47,turns,8
blue,11,FLL,29
anytime,5,JAX,5
keep,27,yet,112
night,38,app,69
code,11,says,115
airfare,7,start,35
weather,72,first,133
luv,11,leg,30
tea,5,pay,104
LOVE,10,second,23
girl,6,much,88
dancing,5,earned,5
Makes,7,miles,101
AND,5,real,45
use,56,person,88
happycustomer,3,respect,9
Nantucket,7,stress,7
change,101,merger,19
instead,26,ppl,26
original,9,might,43
reservation,46,Our,54
yesterday,19,Customer,38
Took,3,Care,5
everything,26,currently,17
experience,36,responding,17
used,20,within,11
app,29,business,85
find,31,headed,9
changed,15,NYC,38
cabin,12,CLT,51
smile,5,Funny,4
company,17,hear,29
well,47,phones,27
USAir,8,entire,36
BUF,4,expected,12
major,3,wait,262
delays,25,via,56
raise,11,number,147
absolutely,7,apology,41
Where,5,Chicago,36
rebook,12,runway,53
another,44,thing,44
Tuesday,11,9pm,5
A320,8,take,192
livery,5,credit,77
website,22,Traveled,3
SJC,6,Jan,4
safety,15,reported,6
Get,3,Asked,8
award,16,worst,167
longer,10,Get,32
showing,9,together,46
