negative_word,count1,non_negative_word,count2
merger,5,choosing,5
complete,5,packages,3
Yup,4,wrong,64
SLC,6,part,21
ground,20,blamed,5
courteous,5,wind,3
ROCK,3,Hoping,8
accommodate,3,Currently,7
notify,3,Dulles_Airport,4
agents,20,closed,24
rocked,3,assist,16
especially,3,speaking,12
Yay,3,unfortunately,14
ice,10,lots,12
CUN,5,talking,15
DEN,11,nonstop,12
comfortable,7,SNA,8
leaving,20,Yep,3
Should,12,Logan,9
compliment,4,broke,16
reFlight,15,cabin,20
RDU,13,handled,8
SEA,7,Flightations,8
absolute,6,happen,31
worked,11,disorganization,3
busy,5,sincere,5
B737700,4,drive,30
Oakland,5,6pm,4
8AUG,4,seen,23
traveling,20,btw,5
worth,5,Virgin,9
recommend,3,managed,5
Give,4,departures,5
gold,3,pointless,3
fault,9,follow,31
working,20,resolve,20
song,10,possible,28
high,13,drunk,8
LieFlat,3,bring,18
April,11,wheelchair,8
Check,3,serving,7
lovely,10,things,38
final,5,talked,13
offering,7,normally,3
corporate,3,watched,8
connections,8,heading,6
extremely,6,takeoff,20
disappointed,4,conference,6
Doesn,5,lands,7
fan,11,Then,28
sucks,3,Europe,3
twice,4,blame,12
month,19,show,39
planning,4,tells,19
Btw,5,ONLY,9
SJU,3,figured,7
VEGAS,5,Plenty,3
SHOW,3,usairways,88
depart,9,Saturday,10
closest,3,Today,9
place,9,delivered,26
choose,4,Pathetic,7
clicking,3,compensation,33
Aruba,3,supervisor,28
regarding,7,picked,11
departing,9,quite,6
talked,6,difficult,9
rep,15,happening,23
nonstop,14,arrangements,3
yall,11,amazing,13
dont,4,FLIGHT,3
copy,3,low,7
feel,11,loading,5
real,7,JAN,3
son,15,ton,3
serve,3,Whats,4
south,6,clearly,16
Did,13,states,10
757,3,res,8
Despite,4,Twice,8
area,11,stinks,6
straight,4,heard,40
PHX,14,discuss,9
overnight,4,many,65
daughter,13,sight,9
surgery,4,ignoring,7
Keep,15,automated,38
revenue,5,gon,23
Air,16,na,33
China,3,costumer,7
sad,4,hassle,4
shoes,3,fewer,3
Using,3,forward,15
Help,15,Due,3
Boeing,3,incompetence,14
ran,3,reschedule,33
See,14,NEVER,19
shortly,5,Nice,10
realized,4,sense,28
expired,6,meeting,17
extension,4,Baltimore,3
couple,8,approved,3
hassle,3,fare,24
🙏🙏🙏✌️✌️✌️🙏🙏🙏,4,msg,11
frustrated,5,started,20
heart,7,suitcase,18
agree,4,Sadly,4
discount,9,gotten,16
Leaving,4,IND,6
aircraft,7,ASAP,16
Might,3,shortly,4
girls,4,carriers,8
inspired,6,round,16
becoming,3,favor,3
WOAW,3,stall,3
ABQ,7,2pm,5
httprfXlV1kGDh,4,ass,8
knows,5,wanting,5
NYC,24,move,17
Global,3,5am,4
reason,17,Said,7
student,5,Instead,8
break,3,means,28
pLate,3,period,6
dealing,9,technically,3
important,5,pile,3
respond,5,shit,27
proud,3,jetblue,57
Jet,7,caused,23
Another,12,spoke,20
nuts,4,Some,10
http8WBzOrRn3C,3,appreciated,12
videos,3,extended,6
sense,4,deplane,8
humor,3,treated,23
held,6,CEO,8
MDW,6,decided,6
frm,4,break,11
OMG,9,world,16
teens,4,AND,19
shares,3,slept,8
results,3,Cowboycerrone,7
USA,9,puts,4
TODAY,3,air,63
updated,6,traffic,11
power,6,EVER,9
outlets,4,access,18
Flying,16,experiencing,4
28th,3,grounded,6
Today,3,equipment,18
top,8,young,6
quality,4,funny,10
window,3,letting,19
arrived,11,Nope,12
drive,8,complaint,36
Sorry,11,communications,4
saying,8,fucking,18
FOR,8,kidding,16
usually,5,PHL,64
starts,3,Sad,6
per,3,willing,14
maintenance,3,empty,36
yeah,5,Reservation,8
SanFrancisco,3,shuttle,8
miami,3,Probably,3
Annual,3,4pm,4
SOBEWFF,3,refused,17
services,8,names,4
reps,3,srvc,3
item,11,Cust,6
Already,8,assured,3
report,6,pleasant,7
redeem,6,Albany,5
itinerary,6,life,32
separate,5,perfect,4
reservations,14,transaction,6
sign,6,One,25
bank,3,Has,9
ended,5,424,4
Hopefully,11,type,8
😂😂,3,pre,7
DIA,7,regional,3
South,8,jet,18
example,7,takes,21
least,14,waited,48
vouchers,3,opened,3
MSY,5,patient,14
beyond,15,originally,9
Thought,3,allow,27
man,9,forever,10
glad,16,repeated,3
headed,8,English,7
Pay,4,cluster,5
download,3,charged,33
jeokoo,3,words,10
travelers,4,wasted,16
quickly,12,americanair,24
understand,19,MKE,7
honest,3,Sabre,4
Delta,18,fixed,17
Washington,7,FAIL,10
segment,3,used,35
appease,12,reserv,4
Mad,3,SEA,4
http4ojrSDWPkK,3,reFlight,32
prior,3,vegas,4
departure,19,original,25
Safety,5,treatment,11
totally,9,atrocious,7
forgot,6,IAD,32
promo,12,Flightd,17
program,5,replacement,7
seated,3,case,29
UnitedAirlines,6,wasting,14
price,12,blowing,3
actually,19,elsewhere,6
haul,3,Premier,8
trust,3,provider,3
announced,7,Ever,8
Pls,8,track,7
lower,3,tired,18
getaway,5,tix,18
oneway,4,code,15
Lots,6,dozen,4
cities,6,inflight,11
CheapFlights,4,fact,31
FareCompare,4,personally,3
globe,3,apologizes,3
battles,12,136,6
Pilot,3,reason,56
offers,6,club,15
Used,5,turned,14
snack,4,CUN,3
Mexico,10,redeemed,3
waiver,3,UnitedAirlines,30
Cessna,5,drop,18
747,6,ladies,3
huh,3,Again,6
arrival,5,huge,9
car,14,reasons,9
takeoff,5,properly,10
anyone,13,Cost,3
standard,3,140,11
kidding,3,characters,12
Congratulations,3,bucks,4
vincenzolandino,3,hiring,5
reserved,3,hand,9
party,12,baby,18
Marie,3,suggested,6
Cali,3,questions,10
bound,3,Phone,9
sweet,8,elite,6
passenger,5,usair,7
hrs,8,details,22
assist,7,reply,37
customs,3,either,27
failure,3,Good,21
Wednesday,5,luck,21
Milan,3,switch,27
Italy,3,eat,12
fresh,5,sun,5
Bag,5,chat,6
Terminal,7,actual,13
entertaining,3,spending,12
watching,8,swa,4
deal,14,greenville,3
fare,9,clients,5
word,9,holding,34
shout,7,All,40
thankyou,5,brought,4
800,4,Right,6
media,11,Philly,30
channels,3,super,13
orlando,3,attention,5
Feb,12,fliers,4
confusion,3,holders,4
hospitality,3,Think,4
Hope,8,LAS,15
airports,5,Juan,7
Waterbury,6,including,7
Republican,6,Flightst,4
forth,3,sleep,30
STL,8,terrible,70
dad,8,traveled,5
carrying,3,halfway,4
Last,4,wants,8
Field,6,SouthwestAir,29
OKC,3,members,25
MCI,4,Glad,8
move,9,kind,23
middle,9,Next,9
band,6,address,27
luggage,18,cab,13
forever,4,MCO,22
👍,12,loyalty,8
Friendly,6,USAir,26
comes,3,boys,3
mint,4,promised,16
brandmance,4,begin,7
Same,3,interview,6
hook,7,DCA,62
trusted,3,honoring,3
youth,3,slow,16
carrieunderwood,10,Baggage,13
Made,6,Nobody,3
expecting,5,USA,5
story,3,Where,22
reaching,3,truth,4
fabulous,5,forced,25
boarded,8,texted,4
Perhaps,4,control,21
trouble,4,pulled,5
Beautiful,3,fuck,12
Business,8,Learn,3
Anything,8,fucken,3
process,12,complaints,24
Headed,3,GoingForGreatnessFAIL,3
Think,3,surprise,12
fingers,5,calls,46
contacting,6,goes,16
Midway,5,tickets,60
Boise,3,driving,8
summer,4,Aspen,5
LGA,13,Thx,16
layover,8,solution,16
TSA,12,easily,6
OAK,3,emailed,11
Having,3,AAdvantage,4
emailed,7,sounded,3
somehow,4,coming,37
checkin,8,guess,38
policies,4,straight,12
count,6,Time,8
Atlantic,4,crashing,4
ploughs,3,announce,9
lone,3,offering,15
furrow,3,rooms,10
MiddleEast,3,handling,11
TheNationalUAE,3,Dulles,10
transfer,5,fiasco,5
AMAZING,9,overall,4
Tampa,5,THE,22
yep,4,Calling,3
Confirmation,5,poorcustomerservice,3
VelourLive,7,destinations,5
Utah,3,Buffalo,7
3rd,5,SWA,24
known,4,didnt,9
precheck,4,bought,25
paid,5,DCABOS,3
Upgrade,3,ATC,4
Flew,3,Cmon,4
love_dragonss,9,FAA,9
entire,6,Missing,10
767,4,merge,9
seconds,3,NotHappy,3
touchdown,3,Maybe,22
Madrid,3,Long,5
little,22,claims,10
pricey,4,thought,31
city,6,Have,37
After,10,heavy,3
Disney,4,worked,12
BWI_Airport,3,tech,9
Partnership,3,stand,8
rough,3,outside,13
spare,4,lazy,5
FYI,7,Two,8
Hawaii,12,regarding,15
😃,4,Could,12
damn,4,short,17
{,3,staffing,3
},5,AGAIN,14
affordable,3,sending,20
interview,4,Expedia,5
guarantee,5,functionality,3
legroom,4,click,5
mess,5,action,4
happen,11,causing,9
project,3,pathetic,14
seeing,8,acknowledge,3
LAUREN,7,bumped,18
GOD,4,BECAUSE,3
happier,3,lets,5
Amazing,5,Web,5
Sending,3,STILL,7
thoughts,6,location,6
originally,3,pick,36
issuing,3,ones,9
Thursday,6,process,35
minute,6,Row,3
management,3,space,22
Florida,6,Lost,11
For,13,Found,7
Grandma,5,Charging,3
Ella,4,biz,9
80th,5,top,23
bday,8,Club,9
greeting,4,proof,4
stewardess,6,mistake,12
Eastern,4,customerservice,26
posted,6,Awesome,4
Sure,5,ignored,6
😂,5,reimbursement,10
Hello,8,private,6
attempt,3,industry,6
amount,6,tire,6
ball,5,absurd,11
collection,3,tel,3
Daily,7,aviv,3
December,3,THIS,6
mileage,9,Miami,33
praise,3,inch,3
lounge,11,hanger,4
combine,4,five,9
Top,4,competent,3
beauty,5,BTW,5
Flightst,4,unable,23
blog,5,Couldn,10
promise,6,touch,10
drinks,3,Buy,3
Sun,3,Come,18
meet,4,hell,16
arrive,9,operational,4
none,3,decent,6
tight,3,apparently,18
relations,4,alternatives,3
diverted,4,4th,9
Plus,3,maybe,30
side,5,lower,6
pair,7,cause,24
den,3,past,55
super,14,cell,10
finding,4,notifications,8
Excellent,3,DIA,7
RSW,3,ensure,5
MKE,3,Wait,4
names,3,maint,5
supervisor,6,PSP,3
Access,6,ability,4
WSJ,10,sunny,4
mail,4,others,17
btw,9,cont,4
aviation,5,scene,3
15th,6,addressed,6
Year,3,officially,10
Bluemanity,7,become,7
Plane,4,bankrupt,5
comment,5,messed,14
😀,3,scan,5
Albuquerque,3,denied,14
model,4,malfunction,6
specified,3,experienced,18
B787,3,skills,4
marks,4,future,22
atlanta,4,shows,17
Canada,6,form,34
god,3,hit,6
initial,4,express,5
dream,5,Told,11
arrangements,3,minor,7
rental,6,spend,22
http3fq3XElbOn,4,plastic,4
stroller,3,chair,3
Bogota,3,actions,5
hiring,3,Terrible,28
sold,6,rows,10
Team,5,layovers,5
RaganDisney,3,peanuts,5
shuttle,3,crackers,3
YVR,5,horrendous,7
premier,3,trapped,6
Boarding,3,cover,21
group,10,Worse,3
yrs,3,size,8
willing,5,overhead,22
saving,7,pocket,4
hands,3,total,16
Black,4,arriving,20
History,3,set,15
woman,3,intl,8
Orleans,3,Going,16
three,4,cancun,4
refunded,7,infant,9
SNA,4,failing,5
penalty,5,success,3
wednesday,3,attempting,3
switch,10,retrieve,3
difference,7,Called,13
college,4,YOU,15
infant,6,ARE,5
Stop,4,HORRIBLE,6
replying,8,pic,5
perfectomobile,3,conf,8
handled,7,points,27
practice,4,CLL,3
grandfather,3,fault,32
philly,4,alone,13
hot,9,TWO,8
soft,3,messing,3
americanair,11,reimburse,7
starting,8,earth,6
explain,8,mother,8
bae,3,personnel,7
cheese,4,regret,4
cross,6,VirginAmerica,7
country,7,support,24
advantage,5,travelers,14
deserves,11,spoken,6
Everything,4,reps,29
Someone,5,Once,9
vacation,13,checkpoint,3
rain,3,guarantee,7
celebrating,3,unfortunate,4
industry,3,usually,12
domestic,13,disappointment,9
HNL,3,owe,3
Dividend,5,600,8
upcoming,7,piece,6
sunshine,3,Best,6
Explorer,3,gear,11
bet,4,starts,3
headphones,3,yelled,7
whenever,3,notified,14
Gold,4,based,9
Flights,7,wish,14
Make,3,45mins,3
relative,3,shame,4
FortuneMagazine,11,may,32
fix,5,friends,19
Indianapolis,3,seeing,4
girlfriend,3,news,9
stranded,6,layover,22
ideas,3,american,8
sleep,9,over000,4
color,3,submitted,19
HOU,3,post,18
fortime,3,frustrations,4
Tnx,3,Better,5
kudos,10,select,18
curious,3,DISAPPOINTED,3
hubby,3,trained,4
promotion,5,Train,4
Shannon,3,argued,3
handling,3,Exec,3
economy,4,Plat,3
post,6,benefits,4
nope,4,brother,8
FINALLY,3,places,4
expect,11,dead,11
ANYTHING,3,captain,14
reach,4,consecutive,3
madness,3,offices,5
however,3,Impossible,3
Waiting,4,vouchers,23
😄,5,headache,4
tweeted,5,728,10
passbook,12,gives,29
speed,4,accordingly,3
views,3,dont,27
SAN,4,dates,4
Happy,8,game,8
success,3,Tuesday,21
boss,4,However,8
prices,3,ends,3
low,7,Columbus,5
sounds,7,painful,4
mind,12,music,7
across,6,avoid,12
til,4,carrying,3
Next,10,medical,7
delivered,8,compensated,6
Read,3,gas,4
previous,3,providing,8
similar,5,nights,7
grateful,3,embarrassing,10
kindness,3,realize,11
Super,6,Spoke,6
strong,3,jacked,4
truly,4,sharing,6
driving,6,sleeping,13
room,9,shitty,9
E190,3,Hung,4
seems,5,Reagan,3
behind,5,Airport,14
problems,4,ended,10
grand,3,billions,3
piece,4,awkward,4
Buffalo,4,cranky,4
allow,8,evening,13
bird,6,snack,5
Program,4,NOTHING,3
💙,7,scared,5
Houston,12,Done,4
plan,6,aviation,4
complimentary,5,Flying,6
certain,3,truly,8
surprised,5,weekend,13
Future,3,rerouted,7
loves,3,walked,6
Anytime,3,limit,7
FlyItForward,3,pressurization,3
rules,4,serious,12
local,4,Washington,4
West,4,coupon,5
Palm,6,Real,3
apologize,4,dca,12
sooner,7,wrote,6
gift,4,simply,11
metal,6,passport,3
note,9,Loved,3
httpaQjn4HwNaC,3,choice,18
negotiate,3,Hopefully,12
resolutions,3,waived,3
reroute,5,Fuck,6
Opal,3,boy,3
Dragon,6,reading,4
ALI,3,carryons,3
woven,3,rules,12
murdering,3,threatened,3
Philippines,5,Paulo,3
connected,3,ashamed,10
fella,3,lied,9
zone,4,encountered,3
proper,3,Phl,6
arrives,7,nytimes,4
FlyTPA,9,WSJ,4
center,5,shameful,8
representative,4,Weather,12
doesnt,3,Read,3
origin,3,See,7
type,8,Disappointed,9
remains,3,understatement,4
marketing,8,Being,4
TPA,3,okay,14
advice,5,sits,4
cheaper,6,icy,7
🙏,5,stressful,5
patience,3,catering,17
removal,4,Tucson,3
matters,4,party,8
drop,8,sell,12
shoutout,4,Atlanta,9
words,5,carousel,10
detail,3,BadCustomerService,4
September,3,February,5
RedCarpet,3,2014,3
maybe,6,badly,6
DallasLoveField,4,age,7
started,4,YYZ,10
priority,8,occurred,5
jets,3,awaiting,3
track,5,prefer,5
standby,14,Global,3
memory,3,Contact,3
young,3,DoBetter,3
anticipate,3,premium,8
develop,3,platinum,17
monitor,3,clear,12
alerts,3,sincerely,4
rate,3,redeem,9
Received,3,social,10
save,6,written,4
fam,3,UsAirways,3
continues,4,office,11
positive,5,unbelievable,8
opened,3,BAD,4
solved,3,Says,3
fair,3,2hr,4
LoveSongFriday,3,incredibly,8
ppl,6,arrogant,3
YES,7,refuel,3
LOL,5,eventually,8
months,10,Memphis,5
Finally,8,father,5
forall,3,feeling,10
letter,3,mco,3
advance,6,crying,5
notice,4,Sending,3
winners,8,Unbelievable,7
conf,6,nicer,4
sale,6,sold,9
blah,3,unless,10
treat,6,date,15
Enjoy,4,planned,13
empty,7,higher,7
Chase,3,felt,6
CHS,3,den,4
Raleigh,5,ual,4
reschedule,3,comes,7
chairman,3,fair,13
BostonLogan,4,turning,4
approach,4,Flightlation,28
cheer,3,blue,12
Group,5,often,6
turned,3,recording,4
desperately,3,repeat,5
flier,4,2222,3
treatment,5,negligence,4
exceptional,7,Airways,22
actual,5,step,9
rude,3,towards,7
earn,3,accurate,7
Problemss,3,annoyed,7
letting,6,expired,10
limit,3,emailing,3
thinking,3,works,13
August,9,Jamaica,3
Bahamas,3,term,6
Oscars,4,cleaned,7
Flightations,4,telephone,3
deserved,4,apps,4
rest,3,husband,19
responses,4,RDU,15
Charleston,3,kill,5
delaysCancelled,3,patience,12
ta,4,easier,6
faster,5,cheaper,6
Wow,6,ways,10
unbelievable,3,PDX,4
operated,4,scheduling,4
smoothly,3,mark,5
meant,5,VirginAtlantic,4
Alaska,3,LHR,3
clarifying,3,sucked,5
easily,4,girl,5
till,4,impact,3
unveils,3,Having,5
including,3,share,15
Ohio,3,passenger,40
annricord,3,quality,9
crews,11,Elite,3
Nicely,3,switching,4
fav,4,hanging,18
wrong,10,Belize,5
Sweet,4,3pm,7
boyfriend,3,City,6
heading,5,fall,3
Credit,3,complimentary,4
non,5,detailed,3
Her,3,page,19
mile,5,ticketed,7
sort,4,bother,20
funeral,6,choose,15
offered,3,worstcustomerservice,4
switching,4,Hold,5
pre,4,force,3
million,3,state,7
wants,3,shock,3
higher,3,lbs,4
seriously,5,WHY,4
holding,3,writing,4
24th,4,required,6
wearing,3,Update,7
PIT,5,thinking,6
awful,3,PEOPLE,3
multiple,4,public,12
beautiful,10,1230,4
staralliance,3,follows,4
Punta,3,feed,4
Cana,3,movie,5
DTW,5,entertainment,17
httpsF2LFULCbQ7,4,waste,17
Texas,6,Agents,7
Airbus,3,MUCH,3
Tried,3,understaffing,4
indeed,3,rudeness,4
ladygaga,10,mistakes,6
lounges,3,failed,22
tab,3,Florida,9
Bos,4,alternate,13
jfk,6,TWICE,5
Long,4,Most,7
KTN,3,AA2444,4
Definitely,3,dallas,4
elite,3,web,14
Platinum,4,legroom,10
dropped,3,fast,5
credits,3,outdated,3
clarification,3,announcement,12
camera,4,despite,16
arranged,3,dollars,17
attend,5,dissatisfied,4
Save,3,tweets,8
yup,3,Upgrade,4
CMH,3,emergency,10
version,3,absolutely,19
bos,3,ferry,3
June,3,Vieques,5
broken,4,Derrick,3
stat,4,fully,6
Going,8,harsh,3
golf,4,toward,6
clubs,3,client,6
pulling,3,XNA,3
runway,5,bullshit,6
anyway,10,pulling,5
answered,5,Running,3
a320,3,Philadelphia,18
HPN,3,Let,11
looked,5,phl,6
Hits,3,Delhi,4
wont,3,centers,3
worried,4,spread,3
brother,5,causes,6
lucky,4,coach,8
loving,5,glitch,4
contacted,3,Line,6
virginamerica,4,specific,6
Here,5,estimate,6
replacing,4,example,7
B767400ER,3,HNL,3
leaves,5,SAN,6
728,3,20min,6
sat,3,requesting,4
basically,3,son,10
noticed,6,nxt,3
Nassau,4,wknd,3
select,4,disgusting,13
membership,4,restore,4
requesting,3,Luggage,5
document,3,destroyed,4
departures,4,helping,24
Because,3,stranding,4
flat,4,absolute,15
arrange,3,Yeah,11
usatoday,3,decide,5
feature,4,belongings,7
space,9,bet,5
matter,6,screw,16
extended,3,correct,21
fly2ohare,4,30mins,3
internal,3,California,5
issued,4,Because,9
Then,4,unreal,6
remember,4,Congrats,4
assignment,3,outlets,8
fortunately,3,TrueBlue,6
stuff,6,signed,3
Unfortunately,3,updated,16
freezing,3,isnt,6
chocoLate,4,appease,3
TheEllenShow,3,announcements,5
AWESOME,3,smallest,3
Lady,3,bottles,3
value,5,merged,5
custserv,3,cares,8
single,4,Singapore,4
ring,4,stewardess,7
concert,3,aggressive,3
five,5,carryon,7
RIC,3,listening,9
Although,3,local,5
Truly,3,position,5
vegas,4,700,7
7th,3,helped,20
laptop,4,SilverAirways,4
Star,3,showed,10
Alliance,3,responsibility,6
Phone,3,read,15
departs,5,train,13
mco,3,Service,21
enroute,5,Like,8
assigned,3,snacks,4
hearing,4,nuts,4
guide,3,WITH,8
include,7,Tues,5
Snow,4,ROC,6
technically,3,seconds,6
silver,3,commercials,3
meal,3,nightmare,20
👎,3,worstairlineever,5
stick,4,Thursday,6
Off,3,WiFi,11
virgin,3,5hr,3
destinationdragons,3,24hrs,10
spoke,6,404,4
machine,3,Site,3
whether,6,stuff,18
rewards,5,huh,4
Miles,5,ticketing,3
opening,6,fill,13
closed,4,personal,14
holder,3,Wifi,3
Impressed,3,redirected,3
poor,4,connected,8
150,4,faster,11
WiFi,4,PIT,6
messages,3,families,5
play,3,pts,6
dest,3,departed,7
reimbursed,3,advertise,5
Fantastic,4,DSM,4
returned,3,Know,3
password,3,silence,3
shown,3,Bay,4
club,8,mine,18
pic,5,Might,7
common,3,landing,30
Update,4,loved,5
599,3,Arriving,3
las,3,POS,5
deplane,3,common,4
✈️,3,paper,6
Daytona,3,meetings,8
lie,3,Hour,6
OfferFlight,4,holdup,4
Chairman,3,poorservice,9
returning,5,notgoodenough,3
Jeff,3,affected,4
Birmingham,3,organization,3
Number,3,timing,3
delta,4,FAANews,3
WinterWeather,3,Plz,6
gon,7,hardly,4
completely,3,cutting,6
Den,3,Rude,10
signed,5,suit,4
interested,3,Okay,4
weird,3,nyc,7
Julie,3,CSR,6
Andrews,3,Unable,6
Louis,3,pull,11
unable,3,Supposed,5
jacket,3,3am,8
Fly_Nashville,3,EpicFail,3
Easy,3,Making,5
200,3,Perhaps,4
Elevate,3,assume,5
Anthony,3,Neither,3
explanation,3,parked,6
congrats,3,stick,5
Tell,5,goin,3
forget,4,everything,20
feet,5,iPhone,7
sometime,3,Charleston,3
sunset,3,Flightation,13
state,3,reLate,12
Award,3,meant,6
Wasn,3,submit,5
Springs,3,century,3
ThankYou,3,armrest,3
Mia,3,main,9
clt,3,beer,5
639,3,valid,7
weight,3,saved,3
license,6,driven,5
fit,3,idiots,7
triflight,3,literally,17
recently,3,history,4
benefits,3,excuses,6
Better,3,unexpected,3
snowboard,3,screens,3
fave,3,cookies,3
heavy,3,promises,5
inches,3,December,3
located,3,Airline,5
Outsource,3,disaster,12
Decisions,3,accept,8
expires,4,cards,4
suit,3,totally,16
Silver,3,large,8
Alright,3,facing,5
